CODIGO_AUTO;CODIGO;DESCRIPCION;REFERENCIA;TIPO INSUMO;TIPO INSUMO DET;UND NEGOCIOS;CENTRO_COSTOS
19;63;LENTES DE CONTACTO REEMPLAZO PROGRAMADO O2 OPTIX HIDROGEL DE SILICONA CAJA X6;LCI-0000019;4;150;4;200102
20;64;LENTES DE CONTACTO REEMPLAZO PROGRAMADO PURE VISION II (HIDROGEL DE SILICONA) CAJA X 6;LCI-0000020;4;150;4;200102
21;65;LENTES DE CONTACTO COSMOPROTESICO POR UNIDAD (CUALQUIER FORMULA);LCI-0000021;4;150;4;200102
22;66;LENTES DE CONTACTO GAS PERMEABLE DK65 (CUALQUIER FORMULA) PAR;LCI-0000022;4;150;4;200102
23;67;LENTES DE CONTACTO GAS PERMEABLE DK50 (CUALQUIER FORMULA) PAR;LCI-0000023;4;150;4;200102
24;68;LENTES DE CONTACTO BLANDOS DE USO DIARIO CAJA X 30;LCI-0000024;4;150;4;200102
25;69;LENTES DE CONTACTO BLANDOS CONVENCIONAL PAR;LCI-0000025;4;150;4;200102
26;2026;LENTES DE CONTACTO SOFTLENS 59 +6.00;LCI-0000026;4;150;4;200102
27;2027;LENTES DE CONTACTO SOFTLENS 59 +5.75;LCI-0000027;4;150;4;200102
28;2028;LENTES DE CONTACTO SOFTLENS 59 +5.50;LCI-0000028;4;150;4;200102
29;2029;LENTES DE CONTACTO SOFTLENS 59 +5.25;LCI-0000029;4;150;4;200102
30;2030;LENTES DE CONTACTO SOFTLENS 59 +5.00;LCI-0000030;4;150;4;200102
31;2031;LENTES DE CONTACTO SOFTLENS 59 +4.75;LCI-0000031;4;150;4;200102
32;2032;LENTES DE CONTACTO SOFTLENS 59 +4.50;LCI-0000032;4;150;4;200102
33;2033;LENTES DE CONTACTO SOFTLENS 59 +4.25;LCI-0000033;4;150;4;200102
34;2034;LENTES DE CONTACTO SOFTLENS 59 +4.00;LCI-0000034;4;150;4;200102
35;2035;LENTES DE CONTACTO SOFTLENS 59 +3.75;LCI-0000035;4;150;4;200102
36;2036;LENTES DE CONTACTO SOFTLENS 59 +3.50;LCI-0000036;4;150;4;200102
37;2037;LENTES DE CONTACTO SOFTLENS 59 +3.25;LCI-0000037;4;150;4;200102
38;2038;LENTES DE CONTACTO SOFTLENS 59 +3.00;LCI-0000038;4;150;4;200102
39;2039;LENTES DE CONTACTO SOFTLENS 59 +2.75;LCI-0000039;4;150;4;200102
40;2040;LENTES DE CONTACTO SOFTLENS 59 +2.50;LCI-0000040;4;150;4;200102
41;2041;LENTES DE CONTACTO SOFTLENS 59 +2.25;LCI-0000041;4;150;4;200102
42;2042;LENTES DE CONTACTO SOFTLENS 59 +2.00;LCI-0000042;4;150;4;200102
43;2043;LENTES DE CONTACTO SOFTLENS 59 +1.75;LCI-0000043;4;150;4;200102
44;2044;LENTES DE CONTACTO SOFTLENS 59 +1.50;LCI-0000044;4;150;4;200102
45;2045;LENTES DE CONTACTO SOFTLENS 59 +1.25;LCI-0000045;4;150;4;200102
46;2046;LENTES DE CONTACTO SOFTLENS 59 +1.00;LCI-0000046;4;150;4;200102
47;2047;LENTES DE CONTACTO SOFTLENS 59 +0.75;LCI-0000047;4;150;4;200102
48;2048;LENTES DE CONTACTO SOFTLENS 59 +0.50;LCI-0000048;4;150;4;200102
49;2049;LENTES DE CONTACTO SOFTLENS 59 +0.25;LCI-0000049;4;150;4;200102
50;2050;LENTES DE CONTACTO SOFTLENS 59 +0.00;LCI-0000050;4;150;4;200102
51;2051;LENTES DE CONTACTO SOFTLENS 59 -0.25;LCI-0000051;4;150;4;200102
52;2052;LENTES DE CONTACTO SOFTLENS 59 -0.50;LCI-0000052;4;150;4;200102
53;2053;LENTES DE CONTACTO SOFTLENS 59 -0.75;LCI-0000053;4;150;4;200102
54;2054;LENTES DE CONTACTO SOFTLENS 59 -1.00;LCI-0000054;4;150;4;200102
55;2055;LENTES DE CONTACTO SOFTLENS 59 -1.25;LCI-0000055;4;150;4;200102
56;2056;LENTES DE CONTACTO SOFTLENS 59 -1.50;LCI-0000056;4;150;4;200102
57;2057;LENTES DE CONTACTO SOFTLENS 59 -1.75;LCI-0000057;4;150;4;200102
58;2058;LENTES DE CONTACTO SOFTLENS 59 -2.00;LCI-0000058;4;150;4;200102
59;2059;LENTES DE CONTACTO SOFTLENS 59 -2.25;LCI-0000059;4;150;4;200102
60;2060;LENTES DE CONTACTO SOFTLENS 59 -2.50;LCI-0000060;4;150;4;200102
61;2061;LENTES DE CONTACTO SOFTLENS 59 -2.75;LCI-0000061;4;150;4;200102
62;2062;LENTES DE CONTACTO SOFTLENS 59 -3.00;LCI-0000062;4;150;4;200102
63;2063;LENTES DE CONTACTO SOFTLENS 59 -3.25;LCI-0000063;4;150;4;200102
64;2064;LENTES DE CONTACTO SOFTLENS 59 -3.50;LCI-0000064;4;150;4;200102
65;2065;LENTES DE CONTACTO SOFTLENS 59 -3.75;LCI-0000065;4;150;4;200102
66;2066;LENTES DE CONTACTO SOFTLENS 59 -4.00;LCI-0000066;4;150;4;200102
67;2067;LENTES DE CONTACTO SOFTLENS 59 -4.25;LCI-0000067;4;150;4;200102
68;2068;LENTES DE CONTACTO SOFTLENS 59 -4.50;LCI-0000068;4;150;4;200102
69;2069;LENTES DE CONTACTO SOFTLENS 59 -4.75;LCI-0000069;4;150;4;200102
70;2070;LENTES DE CONTACTO SOFTLENS 59 -5.00;LCI-0000070;4;150;4;200102
71;2071;LENTES DE CONTACTO SOFTLENS 59 -5.25;LCI-0000071;4;150;4;200102
72;2072;LENTES DE CONTACTO SOFTLENS 59 -5.50;LCI-0000072;4;150;4;200102
73;2073;LENTES DE CONTACTO SOFTLENS 59 -5.75;LCI-0000073;4;150;4;200102
74;2074;LENTES DE CONTACTO SOFTLENS 59 -6.00;LCI-0000074;4;150;4;200102
75;2075;LENTES DE CONTACTO SOFTLENS 59 -6.50;LCI-0000075;4;150;4;200102
76;2076;LENTES DE CONTACTO SOFTLENS 59 -7.00;LCI-0000076;4;150;4;200102
77;2077;LENTES DE CONTACTO SOFTLENS 59 -7.50;LCI-0000077;4;150;4;200102
78;2078;LENTES DE CONTACTO SOFTLENS 59 -8.00;LCI-0000078;4;150;4;200102
79;2079;LENTES DE CONTACTO SOFTLENS 59 -8.50;LCI-0000079;4;150;4;200102
80;2080;LENTES DE CONTACTO SOFTLENS 59 -9.00;LCI-0000080;4;150;4;200102
81;2081;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +6.00;LCI-0000081;4;150;4;200102
82;2082;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +5.75;LCI-0000082;4;150;4;200102
83;2083;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +5.50;LCI-0000083;4;150;4;200102
84;2084;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +5.25;LCI-0000084;4;150;4;200102
85;2085;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +5.00;LCI-0000085;4;150;4;200102
86;2086;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +4.75;LCI-0000086;4;150;4;200102
87;2087;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +4.50;LCI-0000087;4;150;4;200102
88;2088;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +4.25;LCI-0000088;4;150;4;200102
89;2089;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +4.00;LCI-0000089;4;150;4;200102
90;2090;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +3.75;LCI-0000090;4;150;4;200102
91;2091;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +3.50;LCI-0000091;4;150;4;200102
92;2092;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +3.25;LCI-0000092;4;150;4;200102
93;2093;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +3.00;LCI-0000093;4;150;4;200102
94;2094;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +2.75;LCI-0000094;4;150;4;200102
95;2095;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +2.50;LCI-0000095;4;150;4;200102
96;2096;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +2.25;LCI-0000096;4;150;4;200102
97;2097;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +2.00;LCI-0000097;4;150;4;200102
98;2098;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +1.75;LCI-0000098;4;150;4;200102
99;2099;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +1.50;LCI-0000099;4;150;4;200102
100;2100;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +1.25;LCI-0000100;4;150;4;200102
101;2101;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +1.00;LCI-0000101;4;150;4;200102
102;2102;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +0.75;LCI-0000102;4;150;4;200102
103;2103;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +0.50;LCI-0000103;4;150;4;200102
104;2104;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +0.25;LCI-0000104;4;150;4;200102
105;2105;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +0.00;LCI-0000105;4;150;4;200102
106;2106;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -0.25;LCI-0000106;4;150;4;200102
107;2107;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -0.50;LCI-0000107;4;150;4;200102
108;2108;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -0.75;LCI-0000108;4;150;4;200102
109;2109;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -1.00;LCI-0000109;4;150;4;200102
110;2110;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -1.25;LCI-0000110;4;150;4;200102
111;2111;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -1.50;LCI-0000111;4;150;4;200102
112;2112;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -1.75;LCI-0000112;4;150;4;200102
113;2113;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -2.00;LCI-0000113;4;150;4;200102
114;2114;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -2.25;LCI-0000114;4;150;4;200102
115;2115;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -2.50;LCI-0000115;4;150;4;200102
116;2116;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -2.75;LCI-0000116;4;150;4;200102
117;2117;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -3.00;LCI-0000117;4;150;4;200102
118;2118;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -3.25;LCI-0000118;4;150;4;200102
119;2119;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -3.50;LCI-0000119;4;150;4;200102
120;2120;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -3.75;LCI-0000120;4;150;4;200102
121;2121;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -4.00;LCI-0000121;4;150;4;200102
122;2122;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -4.25;LCI-0000122;4;150;4;200102
123;2123;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -4.50;LCI-0000123;4;150;4;200102
124;2124;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -4.75;LCI-0000124;4;150;4;200102
125;2125;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -5.00;LCI-0000125;4;150;4;200102
126;2126;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -5.25;LCI-0000126;4;150;4;200102
127;2127;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -5.50;LCI-0000127;4;150;4;200102
128;2128;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -5.75;LCI-0000128;4;150;4;200102
129;2129;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -6.00;LCI-0000129;4;150;4;200102
130;2130;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -6.50;LCI-0000130;4;150;4;200102
131;2131;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -7.00;LCI-0000131;4;150;4;200102
132;2132;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -7.50;LCI-0000132;4;150;4;200102
133;2133;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -8.00;LCI-0000133;4;150;4;200102
134;2134;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -8.50;LCI-0000134;4;150;4;200102
135;2135;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -9.00;LCI-0000135;4;150;4;200102
136;2136;LENTES DE CONTACTO ULTRA +6.00;LCI-0000136;4;150;4;200102
137;2137;LENTES DE CONTACTO ULTRA +5.75;LCI-0000137;4;150;4;200102
138;2138;LENTES DE CONTACTO ULTRA +5.50;LCI-0000138;4;150;4;200102
139;2139;LENTES DE CONTACTO ULTRA +5.25;LCI-0000139;4;150;4;200102
140;2140;LENTES DE CONTACTO ULTRA +5.00;LCI-0000140;4;150;4;200102
141;2141;LENTES DE CONTACTO ULTRA +4.75;LCI-0000141;4;150;4;200102
142;2142;LENTES DE CONTACTO ULTRA +4.50;LCI-0000142;4;150;4;200102
143;2143;LENTES DE CONTACTO ULTRA +4.25;LCI-0000143;4;150;4;200102
144;2144;LENTES DE CONTACTO ULTRA +4.00;LCI-0000144;4;150;4;200102
145;2145;LENTES DE CONTACTO ULTRA +3.75;LCI-0000145;4;150;4;200102
146;2146;LENTES DE CONTACTO ULTRA +3.50;LCI-0000146;4;150;4;200102
147;2147;LENTES DE CONTACTO ULTRA +3.25;LCI-0000147;4;150;4;200102
148;2148;LENTES DE CONTACTO ULTRA +3.00;LCI-0000148;4;150;4;200102
149;2149;LENTES DE CONTACTO ULTRA +2.75;LCI-0000149;4;150;4;200102
150;2150;LENTES DE CONTACTO ULTRA +2.50;LCI-0000150;4;150;4;200102
151;2151;LENTES DE CONTACTO ULTRA +2.25;LCI-0000151;4;150;4;200102
152;2152;LENTES DE CONTACTO ULTRA +2.00;LCI-0000152;4;150;4;200102
153;2153;LENTES DE CONTACTO ULTRA +1.75;LCI-0000153;4;150;4;200102
154;2154;LENTES DE CONTACTO ULTRA +1.50;LCI-0000154;4;150;4;200102
155;2155;LENTES DE CONTACTO ULTRA +1.25;LCI-0000155;4;150;4;200102
156;2156;LENTES DE CONTACTO ULTRA +1.00;LCI-0000156;4;150;4;200102
157;2157;LENTES DE CONTACTO ULTRA +0.75;LCI-0000157;4;150;4;200102
158;2158;LENTES DE CONTACTO ULTRA +0.50;LCI-0000158;4;150;4;200102
159;2159;LENTES DE CONTACTO ULTRA +0.25;LCI-0000159;4;150;4;200102
160;2160;LENTES DE CONTACTO ULTRA +0.00;LCI-0000160;4;150;4;200102
161;2161;LENTES DE CONTACTO ULTRA -0.25;LCI-0000161;4;150;4;200102
162;2162;LENTES DE CONTACTO ULTRA -0.50;LCI-0000162;4;150;4;200102
163;2163;LENTES DE CONTACTO ULTRA -0.75;LCI-0000163;4;150;4;200102
164;2164;LENTES DE CONTACTO ULTRA -1.00;LCI-0000164;4;150;4;200102
165;2165;LENTES DE CONTACTO ULTRA -1.25;LCI-0000165;4;150;4;200102
166;2166;LENTES DE CONTACTO ULTRA -1.50;LCI-0000166;4;150;4;200102
167;2167;LENTES DE CONTACTO ULTRA -1.75;LCI-0000167;4;150;4;200102
168;2168;LENTES DE CONTACTO ULTRA -2.00;LCI-0000168;4;150;4;200102
169;2169;LENTES DE CONTACTO ULTRA -2.25;LCI-0000169;4;150;4;200102
170;2170;LENTES DE CONTACTO ULTRA -2.50;LCI-0000170;4;150;4;200102
171;2171;LENTES DE CONTACTO ULTRA -2.75;LCI-0000171;4;150;4;200102
172;2172;LENTES DE CONTACTO ULTRA -3.00;LCI-0000172;4;150;4;200102
173;2173;LENTES DE CONTACTO ULTRA -3.25;LCI-0000173;4;150;4;200102
174;2174;LENTES DE CONTACTO ULTRA -3.50;LCI-0000174;4;150;4;200102
175;2175;LENTES DE CONTACTO ULTRA -3.75;LCI-0000175;4;150;4;200102
176;2176;LENTES DE CONTACTO ULTRA -4.00;LCI-0000176;4;150;4;200102
177;2177;LENTES DE CONTACTO ULTRA -4.25;LCI-0000177;4;150;4;200102
178;2178;LENTES DE CONTACTO ULTRA -4.50;LCI-0000178;4;150;4;200102
179;2179;LENTES DE CONTACTO ULTRA -4.75;LCI-0000179;4;150;4;200102
180;2180;LENTES DE CONTACTO ULTRA -5.00;LCI-0000180;4;150;4;200102
181;2181;LENTES DE CONTACTO ULTRA -5.25;LCI-0000181;4;150;4;200102
182;2182;LENTES DE CONTACTO ULTRA -5.50;LCI-0000182;4;150;4;200102
183;2183;LENTES DE CONTACTO ULTRA -5.75;LCI-0000183;4;150;4;200102
184;2184;LENTES DE CONTACTO ULTRA -6.00;LCI-0000184;4;150;4;200102
185;2185;LENTES DE CONTACTO ULTRA -6.50;LCI-0000185;4;150;4;200102
186;2186;LENTES DE CONTACTO ULTRA -7.00;LCI-0000186;4;150;4;200102
187;2187;LENTES DE CONTACTO ULTRA -7.50;LCI-0000187;4;150;4;200102
188;2188;LENTES DE CONTACTO ULTRA -8.00;LCI-0000188;4;150;4;200102
189;2189;LENTES DE CONTACTO ULTRA -8.50;LCI-0000189;4;150;4;200102
190;2190;LENTES DE CONTACTO ULTRA -9.00;LCI-0000190;4;150;4;200102
191;2191;LENTES DE CONTACTO CLEAR TORICO HEMMA +6.00;LCI-0000191;4;150;4;200102
192;2192;LENTES DE CONTACTO CLEAR TORICO HEMMA +5.75;LCI-0000192;4;150;4;200102
193;2193;LENTES DE CONTACTO CLEAR TORICO HEMMA +5.50;LCI-0000193;4;150;4;200102
194;2194;LENTES DE CONTACTO CLEAR TORICO HEMMA +5.25;LCI-0000194;4;150;4;200102
195;2195;LENTES DE CONTACTO CLEAR TORICO HEMMA +5.00;LCI-0000195;4;150;4;200102
196;2196;LENTES DE CONTACTO CLEAR TORICO HEMMA +4.75;LCI-0000196;4;150;4;200102
197;2197;LENTES DE CONTACTO CLEAR TORICO HEMMA +4.50;LCI-0000197;4;150;4;200102
198;2198;LENTES DE CONTACTO CLEAR TORICO HEMMA +4.25;LCI-0000198;4;150;4;200102
199;2199;LENTES DE CONTACTO CLEAR TORICO HEMMA +4.00;LCI-0000199;4;150;4;200102
200;2200;LENTES DE CONTACTO CLEAR TORICO HEMMA +3.75;LCI-0000200;4;150;4;200102
201;2201;LENTES DE CONTACTO CLEAR TORICO HEMMA +3.50;LCI-0000201;4;150;4;200102
202;2202;LENTES DE CONTACTO CLEAR TORICO HEMMA +3.25;LCI-0000202;4;150;4;200102
203;2203;LENTES DE CONTACTO CLEAR TORICO HEMMA +3.00;LCI-0000203;4;150;4;200102
204;2204;LENTES DE CONTACTO CLEAR TORICO HEMMA +2.75;LCI-0000204;4;150;4;200102
205;2205;LENTES DE CONTACTO CLEAR TORICO HEMMA +2.50;LCI-0000205;4;150;4;200102
206;2206;LENTES DE CONTACTO CLEAR TORICO HEMMA +2.25;LCI-0000206;4;150;4;200102
207;2207;LENTES DE CONTACTO CLEAR TORICO HEMMA +2.00;LCI-0000207;4;150;4;200102
208;2208;LENTES DE CONTACTO CLEAR TORICO HEMMA +1.75;LCI-0000208;4;150;4;200102
209;2209;LENTES DE CONTACTO CLEAR TORICO HEMMA +1.50;LCI-0000209;4;150;4;200102
210;2210;LENTES DE CONTACTO CLEAR TORICO HEMMA +1.25;LCI-0000210;4;150;4;200102
211;2211;LENTES DE CONTACTO CLEAR TORICO HEMMA +1.00;LCI-0000211;4;150;4;200102
212;2212;LENTES DE CONTACTO CLEAR TORICO HEMMA +0.75;LCI-0000212;4;150;4;200102
213;2213;LENTES DE CONTACTO CLEAR TORICO HEMMA +0.50;LCI-0000213;4;150;4;200102
214;2214;LENTES DE CONTACTO CLEAR TORICO HEMMA +0.25;LCI-0000214;4;150;4;200102
215;2215;LENTES DE CONTACTO CLEAR TORICO HEMMA +0.00;LCI-0000215;4;150;4;200102
216;2216;LENTES DE CONTACTO CLEAR TORICO HEMMA -0.25;LCI-0000216;4;150;4;200102
217;2217;LENTES DE CONTACTO CLEAR TORICO HEMMA -0.50;LCI-0000217;4;150;4;200102
218;2218;LENTES DE CONTACTO CLEAR TORICO HEMMA -0.75;LCI-0000218;4;150;4;200102
219;2219;LENTES DE CONTACTO CLEAR TORICO HEMMA -1.00;LCI-0000219;4;150;4;200102
220;2220;LENTES DE CONTACTO CLEAR TORICO HEMMA -1.25;LCI-0000220;4;150;4;200102
221;2221;LENTES DE CONTACTO CLEAR TORICO HEMMA -1.50;LCI-0000221;4;150;4;200102
222;2222;LENTES DE CONTACTO CLEAR TORICO HEMMA -1.75;LCI-0000222;4;150;4;200102
223;2223;LENTES DE CONTACTO CLEAR TORICO HEMMA -2.00;LCI-0000223;4;150;4;200102
224;2224;LENTES DE CONTACTO CLEAR TORICO HEMMA -2.25;LCI-0000224;4;150;4;200102
225;2225;LENTES DE CONTACTO CLEAR TORICO HEMMA -2.50;LCI-0000225;4;150;4;200102
226;2226;LENTES DE CONTACTO CLEAR TORICO HEMMA -2.75;LCI-0000226;4;150;4;200102
227;2227;LENTES DE CONTACTO CLEAR TORICO HEMMA -3.00;LCI-0000227;4;150;4;200102
228;2228;LENTES DE CONTACTO CLEAR TORICO HEMMA -3.25;LCI-0000228;4;150;4;200102
229;2229;LENTES DE CONTACTO CLEAR TORICO HEMMA -3.50;LCI-0000229;4;150;4;200102
230;2230;LENTES DE CONTACTO CLEAR TORICO HEMMA -3.75;LCI-0000230;4;150;4;200102
231;2231;LENTES DE CONTACTO CLEAR TORICO HEMMA -4.00;LCI-0000231;4;150;4;200102
232;2232;LENTES DE CONTACTO CLEAR TORICO HEMMA -4.25;LCI-0000232;4;150;4;200102
233;2233;LENTES DE CONTACTO CLEAR TORICO HEMMA -4.50;LCI-0000233;4;150;4;200102
234;2234;LENTES DE CONTACTO CLEAR TORICO HEMMA -4.75;LCI-0000234;4;150;4;200102
235;2235;LENTES DE CONTACTO CLEAR TORICO HEMMA -5.00;LCI-0000235;4;150;4;200102
236;2236;LENTES DE CONTACTO CLEAR TORICO HEMMA -5.25;LCI-0000236;4;150;4;200102
237;2237;LENTES DE CONTACTO CLEAR TORICO HEMMA -5.50;LCI-0000237;4;150;4;200102
238;2238;LENTES DE CONTACTO CLEAR TORICO HEMMA -5.75;LCI-0000238;4;150;4;200102
239;2239;LENTES DE CONTACTO CLEAR TORICO HEMMA -6.00;LCI-0000239;4;150;4;200102
240;2240;LENTES DE CONTACTO CLEAR TORICO HEMMA -6.25;LCI-0000240;4;150;4;200102
241;2241;LENTES DE CONTACTO CLEAR TORICO HEMMA -6.50;LCI-0000241;4;150;4;200102
242;2242;LENTES DE CONTACTO CLEAR TORICO HEMMA -6.75;LCI-0000242;4;150;4;200102
243;2243;LENTES DE CONTACTO CLEAR TORICO HEMMA -7.00;LCI-0000243;4;150;4;200102
244;2244;LENTES DE CONTACTO CLEAR TORICO HEMMA -7.25;LCI-0000244;4;150;4;200102
245;2245;LENTES DE CONTACTO CLEAR TORICO HEMMA -7.50;LCI-0000245;4;150;4;200102
246;2246;LENTES DE CONTACTO CLEAR TORICO HEMMA -8.00;LCI-0000246;4;150;4;200102
247;2247;LENTES DE CONTACTO PUREVISION 2 ESFERICO +6.00;LCI-0000247;4;150;4;200102
248;2248;LENTES DE CONTACTO PUREVISION 2 ESFERICO +5.75;LCI-0000248;4;150;4;200102
249;2249;LENTES DE CONTACTO PUREVISION 2 ESFERICO +5.50;LCI-0000249;4;150;4;200102
250;2250;LENTES DE CONTACTO PUREVISION 2 ESFERICO +5.25;LCI-0000250;4;150;4;200102
251;2251;LENTES DE CONTACTO PUREVISION 2 ESFERICO +5.00;LCI-0000251;4;150;4;200102
252;2252;LENTES DE CONTACTO PUREVISION 2 ESFERICO +4.75;LCI-0000252;4;150;4;200102
253;2253;LENTES DE CONTACTO PUREVISION 2 ESFERICO +4.50;LCI-0000253;4;150;4;200102
254;2254;LENTES DE CONTACTO PUREVISION 2 ESFERICO +4.25;LCI-0000254;4;150;4;200102
255;2255;LENTES DE CONTACTO PUREVISION 2 ESFERICO +4.00;LCI-0000255;4;150;4;200102
256;2256;LENTES DE CONTACTO PUREVISION 2 ESFERICO +3.75;LCI-0000256;4;150;4;200102
257;2257;LENTES DE CONTACTO PUREVISION 2 ESFERICO +3.50;LCI-0000257;4;150;4;200102
258;2258;LENTES DE CONTACTO PUREVISION 2 ESFERICO +3.25;LCI-0000258;4;150;4;200102
259;2259;LENTES DE CONTACTO PUREVISION 2 ESFERICO +3.00;LCI-0000259;4;150;4;200102
260;2260;LENTES DE CONTACTO PUREVISION 2 ESFERICO +2.75;LCI-0000260;4;150;4;200102
261;2261;LENTES DE CONTACTO PUREVISION 2 ESFERICO +2.50;LCI-0000261;4;150;4;200102
262;2262;LENTES DE CONTACTO PUREVISION 2 ESFERICO +2.25;LCI-0000262;4;150;4;200102
263;2263;LENTES DE CONTACTO PUREVISION 2 ESFERICO +2.00;LCI-0000263;4;150;4;200102
264;2264;LENTES DE CONTACTO PUREVISION 2 ESFERICO +1.75;LCI-0000264;4;150;4;200102
