CODIGO_AUTO;CODIGO;DESCRIPCION;REFERENCIA;TIPO INSUMO DET;TIPO INSUMO;UND NEGOCIOS;CENTRO_COSTOS
72;2072;LENTES DE CONTACTO SOFTLENS 59 -5.50;LCI-0000072;150;4;U04;200101
73;2073;LENTES DE CONTACTO SOFTLENS 59 -5.75;LCI-0000073;150;4;U04;200101
74;2074;LENTES DE CONTACTO SOFTLENS 59 -6.00;LCI-0000074;150;4;U04;200101
75;2075;LENTES DE CONTACTO SOFTLENS 59 -6.50;LCI-0000075;150;4;U04;200101
76;2076;LENTES DE CONTACTO SOFTLENS 59 -7.00;LCI-0000076;150;4;U04;200101
77;2077;LENTES DE CONTACTO SOFTLENS 59 -7.50;LCI-0000077;150;4;U04;200101
78;2078;LENTES DE CONTACTO SOFTLENS 59 -8.00;LCI-0000078;150;4;U04;200101
79;2079;LENTES DE CONTACTO SOFTLENS 59 -8.50;LCI-0000079;150;4;U04;200101
80;2080;LENTES DE CONTACTO SOFTLENS 59 -9.00;LCI-0000080;150;4;U04;200101
81;2081;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +6.00;LCI-0000081;150;4;U04;200101
82;2082;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +5.75;LCI-0000082;150;4;U04;200101
83;2083;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +5.50;LCI-0000083;150;4;U04;200101
84;2084;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +5.25;LCI-0000084;150;4;U04;200101
85;2085;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +5.00;LCI-0000085;150;4;U04;200101
86;2086;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +4.75;LCI-0000086;150;4;U04;200101
87;2087;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +4.50;LCI-0000087;150;4;U04;200101
88;2088;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +4.25;LCI-0000088;150;4;U04;200101
89;2089;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +4.00;LCI-0000089;150;4;U04;200101
90;2090;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +3.75;LCI-0000090;150;4;U04;200101
91;2091;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +3.50;LCI-0000091;150;4;U04;200101
92;2092;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +3.25;LCI-0000092;150;4;U04;200101
93;2093;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +3.00;LCI-0000093;150;4;U04;200101
94;2094;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +2.75;LCI-0000094;150;4;U04;200101
95;2095;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +2.50;LCI-0000095;150;4;U04;200101
96;2096;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +2.25;LCI-0000096;150;4;U04;200101
97;2097;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +2.00;LCI-0000097;150;4;U04;200101
98;2098;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +1.75;LCI-0000098;150;4;U04;200101
99;2099;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +1.50;LCI-0000099;150;4;U04;200101
100;2100;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +1.25;LCI-0000100;150;4;U04;200101
101;2101;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +1.00;LCI-0000101;150;4;U04;200101
102;2102;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +0.75;LCI-0000102;150;4;U04;200101
103;2103;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +0.50;LCI-0000103;150;4;U04;200101
104;2104;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +0.25;LCI-0000104;150;4;U04;200101
105;2105;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO +0.00;LCI-0000105;150;4;U04;200101
106;2106;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -0.25;LCI-0000106;150;4;U04;200101
107;2107;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -0.50;LCI-0000107;150;4;U04;200101
108;2108;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -0.75;LCI-0000108;150;4;U04;200101
109;2109;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -1.00;LCI-0000109;150;4;U04;200101
110;2110;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -1.25;LCI-0000110;150;4;U04;200101
111;2111;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -1.50;LCI-0000111;150;4;U04;200101
112;2112;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -1.75;LCI-0000112;150;4;U04;200101
113;2113;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -2.00;LCI-0000113;150;4;U04;200101
114;2114;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -2.25;LCI-0000114;150;4;U04;200101
115;2115;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -2.50;LCI-0000115;150;4;U04;200101
116;2116;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -2.75;LCI-0000116;150;4;U04;200101
117;2117;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -3.00;LCI-0000117;150;4;U04;200101
118;2118;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -3.25;LCI-0000118;150;4;U04;200101
119;2119;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -3.50;LCI-0000119;150;4;U04;200101
120;2120;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -3.75;LCI-0000120;150;4;U04;200101
121;2121;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -4.00;LCI-0000121;150;4;U04;200101
122;2122;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -4.25;LCI-0000122;150;4;U04;200101
123;2123;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -4.50;LCI-0000123;150;4;U04;200101
124;2124;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -4.75;LCI-0000124;150;4;U04;200101
125;2125;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -5.00;LCI-0000125;150;4;U04;200101
126;2126;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -5.25;LCI-0000126;150;4;U04;200101
127;2127;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -5.50;LCI-0000127;150;4;U04;200101
128;2128;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -5.75;LCI-0000128;150;4;U04;200101
129;2129;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -6.00;LCI-0000129;150;4;U04;200101
130;2130;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -6.50;LCI-0000130;150;4;U04;200101
131;2131;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -7.00;LCI-0000131;150;4;U04;200101
132;2132;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -7.50;LCI-0000132;150;4;U04;200101
133;2133;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -8.00;LCI-0000133;150;4;U04;200101
134;2134;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -8.50;LCI-0000134;150;4;U04;200101
135;2135;LENTES DE CONTACTO SOFTLENS 66 ASTIGMATISMO -9.00;LCI-0000135;150;4;U04;200101
136;2136;LENTES DE CONTACTO ULTRA +6.00;LCI-0000136;150;4;U04;200101
137;2137;LENTES DE CONTACTO ULTRA +5.75;LCI-0000137;150;4;U04;200101
138;2138;LENTES DE CONTACTO ULTRA +5.50;LCI-0000138;150;4;U04;200101
139;2139;LENTES DE CONTACTO ULTRA +5.25;LCI-0000139;150;4;U04;200101
140;2140;LENTES DE CONTACTO ULTRA +5.00;LCI-0000140;150;4;U04;200101
141;2141;LENTES DE CONTACTO ULTRA +4.75;LCI-0000141;150;4;U04;200101
142;2142;LENTES DE CONTACTO ULTRA +4.50;LCI-0000142;150;4;U04;200101
143;2143;LENTES DE CONTACTO ULTRA +4.25;LCI-0000143;150;4;U04;200101
144;2144;LENTES DE CONTACTO ULTRA +4.00;LCI-0000144;150;4;U04;200101
145;2145;LENTES DE CONTACTO ULTRA +3.75;LCI-0000145;150;4;U04;200101
146;2146;LENTES DE CONTACTO ULTRA +3.50;LCI-0000146;150;4;U04;200101
147;2147;LENTES DE CONTACTO ULTRA +3.25;LCI-0000147;150;4;U04;200101
148;2148;LENTES DE CONTACTO ULTRA +3.00;LCI-0000148;150;4;U04;200101
149;2149;LENTES DE CONTACTO ULTRA +2.75;LCI-0000149;150;4;U04;200101
150;2150;LENTES DE CONTACTO ULTRA +2.50;LCI-0000150;150;4;U04;200101
151;2151;LENTES DE CONTACTO ULTRA +2.25;LCI-0000151;150;4;U04;200101
152;2152;LENTES DE CONTACTO ULTRA +2.00;LCI-0000152;150;4;U04;200101
153;2153;LENTES DE CONTACTO ULTRA +1.75;LCI-0000153;150;4;U04;200101
154;2154;LENTES DE CONTACTO ULTRA +1.50;LCI-0000154;150;4;U04;200101
155;2155;LENTES DE CONTACTO ULTRA +1.25;LCI-0000155;150;4;U04;200101
156;2156;LENTES DE CONTACTO ULTRA +1.00;LCI-0000156;150;4;U04;200101
157;2157;LENTES DE CONTACTO ULTRA +0.75;LCI-0000157;150;4;U04;200101
158;2158;LENTES DE CONTACTO ULTRA +0.50;LCI-0000158;150;4;U04;200101
159;2159;LENTES DE CONTACTO ULTRA +0.25;LCI-0000159;150;4;U04;200101
160;2160;LENTES DE CONTACTO ULTRA +0.00;LCI-0000160;150;4;U04;200101
161;2161;LENTES DE CONTACTO ULTRA -0.25;LCI-0000161;150;4;U04;200101
162;2162;LENTES DE CONTACTO ULTRA -0.50;LCI-0000162;150;4;U04;200101
163;2163;LENTES DE CONTACTO ULTRA -0.75;LCI-0000163;150;4;U04;200101
164;2164;LENTES DE CONTACTO ULTRA -1.00;LCI-0000164;150;4;U04;200101
165;2165;LENTES DE CONTACTO ULTRA -1.25;LCI-0000165;150;4;U04;200101
166;2166;LENTES DE CONTACTO ULTRA -1.50;LCI-0000166;150;4;U04;200101
167;2167;LENTES DE CONTACTO ULTRA -1.75;LCI-0000167;150;4;U04;200101
168;2168;LENTES DE CONTACTO ULTRA -2.00;LCI-0000168;150;4;U04;200101
169;2169;LENTES DE CONTACTO ULTRA -2.25;LCI-0000169;150;4;U04;200101
170;2170;LENTES DE CONTACTO ULTRA -2.50;LCI-0000170;150;4;U04;200101
171;2171;LENTES DE CONTACTO ULTRA -2.75;LCI-0000171;150;4;U04;200101
172;2172;LENTES DE CONTACTO ULTRA -3.00;LCI-0000172;150;4;U04;200101
173;2173;LENTES DE CONTACTO ULTRA -3.25;LCI-0000173;150;4;U04;200101
174;2174;LENTES DE CONTACTO ULTRA -3.50;LCI-0000174;150;4;U04;200101
175;2175;LENTES DE CONTACTO ULTRA -3.75;LCI-0000175;150;4;U04;200101
176;2176;LENTES DE CONTACTO ULTRA -4.00;LCI-0000176;150;4;U04;200101
177;2177;LENTES DE CONTACTO ULTRA -4.25;LCI-0000177;150;4;U04;200101
178;2178;LENTES DE CONTACTO ULTRA -4.50;LCI-0000178;150;4;U04;200101
179;2179;LENTES DE CONTACTO ULTRA -4.75;LCI-0000179;150;4;U04;200101
180;2180;LENTES DE CONTACTO ULTRA -5.00;LCI-0000180;150;4;U04;200101
181;2181;LENTES DE CONTACTO ULTRA -5.25;LCI-0000181;150;4;U04;200101
182;2182;LENTES DE CONTACTO ULTRA -5.50;LCI-0000182;150;4;U04;200101
183;2183;LENTES DE CONTACTO ULTRA -5.75;LCI-0000183;150;4;U04;200101
184;2184;LENTES DE CONTACTO ULTRA -6.00;LCI-0000184;150;4;U04;200101
185;2185;LENTES DE CONTACTO ULTRA -6.50;LCI-0000185;150;4;U04;200101
186;2186;LENTES DE CONTACTO ULTRA -7.00;LCI-0000186;150;4;U04;200101
187;2187;LENTES DE CONTACTO ULTRA -7.50;LCI-0000187;150;4;U04;200101
188;2188;LENTES DE CONTACTO ULTRA -8.00;LCI-0000188;150;4;U04;200101
189;2189;LENTES DE CONTACTO ULTRA -8.50;LCI-0000189;150;4;U04;200101
190;2190;LENTES DE CONTACTO ULTRA -9.00;LCI-0000190;150;4;U04;200101
191;2191;LENTES DE CONTACTO CLEAR TORICO HEMMA +6.00;LCI-0000191;150;4;U04;200101
192;2192;LENTES DE CONTACTO CLEAR TORICO HEMMA +5.75;LCI-0000192;150;4;U04;200101
193;2193;LENTES DE CONTACTO CLEAR TORICO HEMMA +5.50;LCI-0000193;150;4;U04;200101
194;2194;LENTES DE CONTACTO CLEAR TORICO HEMMA +5.25;LCI-0000194;150;4;U04;200101
195;2195;LENTES DE CONTACTO CLEAR TORICO HEMMA +5.00;LCI-0000195;150;4;U04;200101
196;2196;LENTES DE CONTACTO CLEAR TORICO HEMMA +4.75;LCI-0000196;150;4;U04;200101
197;2197;LENTES DE CONTACTO CLEAR TORICO HEMMA +4.50;LCI-0000197;150;4;U04;200101
198;2198;LENTES DE CONTACTO CLEAR TORICO HEMMA +4.25;LCI-0000198;150;4;U04;200101
199;2199;LENTES DE CONTACTO CLEAR TORICO HEMMA +4.00;LCI-0000199;150;4;U04;200101
200;2200;LENTES DE CONTACTO CLEAR TORICO HEMMA +3.75;LCI-0000200;150;4;U04;200101
201;2201;LENTES DE CONTACTO CLEAR TORICO HEMMA +3.50;LCI-0000201;150;4;U04;200101
202;2202;LENTES DE CONTACTO CLEAR TORICO HEMMA +3.25;LCI-0000202;150;4;U04;200101
203;2203;LENTES DE CONTACTO CLEAR TORICO HEMMA +3.00;LCI-0000203;150;4;U04;200101
204;2204;LENTES DE CONTACTO CLEAR TORICO HEMMA +2.75;LCI-0000204;150;4;U04;200101
205;2205;LENTES DE CONTACTO CLEAR TORICO HEMMA +2.50;LCI-0000205;150;4;U04;200101
206;2206;LENTES DE CONTACTO CLEAR TORICO HEMMA +2.25;LCI-0000206;150;4;U04;200101
207;2207;LENTES DE CONTACTO CLEAR TORICO HEMMA +2.00;LCI-0000207;150;4;U04;200101
208;2208;LENTES DE CONTACTO CLEAR TORICO HEMMA +1.75;LCI-0000208;150;4;U04;200101
209;2209;LENTES DE CONTACTO CLEAR TORICO HEMMA +1.50;LCI-0000209;150;4;U04;200101
210;2210;LENTES DE CONTACTO CLEAR TORICO HEMMA +1.25;LCI-0000210;150;4;U04;200101
211;2211;LENTES DE CONTACTO CLEAR TORICO HEMMA +1.00;LCI-0000211;150;4;U04;200101
212;2212;LENTES DE CONTACTO CLEAR TORICO HEMMA +0.75;LCI-0000212;150;4;U04;200101
213;2213;LENTES DE CONTACTO CLEAR TORICO HEMMA +0.50;LCI-0000213;150;4;U04;200101
214;2214;LENTES DE CONTACTO CLEAR TORICO HEMMA +0.25;LCI-0000214;150;4;U04;200101
215;2215;LENTES DE CONTACTO CLEAR TORICO HEMMA +0.00;LCI-0000215;150;4;U04;200101
216;2216;LENTES DE CONTACTO CLEAR TORICO HEMMA -0.25;LCI-0000216;150;4;U04;200101
217;2217;LENTES DE CONTACTO CLEAR TORICO HEMMA -0.50;LCI-0000217;150;4;U04;200101
218;2218;LENTES DE CONTACTO CLEAR TORICO HEMMA -0.75;LCI-0000218;150;4;U04;200101
219;2219;LENTES DE CONTACTO CLEAR TORICO HEMMA -1.00;LCI-0000219;150;4;U04;200101
220;2220;LENTES DE CONTACTO CLEAR TORICO HEMMA -1.25;LCI-0000220;150;4;U04;200101
221;2221;LENTES DE CONTACTO CLEAR TORICO HEMMA -1.50;LCI-0000221;150;4;U04;200101
222;2222;LENTES DE CONTACTO CLEAR TORICO HEMMA -1.75;LCI-0000222;150;4;U04;200101
223;2223;LENTES DE CONTACTO CLEAR TORICO HEMMA -2.00;LCI-0000223;150;4;U04;200101
224;2224;LENTES DE CONTACTO CLEAR TORICO HEMMA -2.25;LCI-0000224;150;4;U04;200101
225;2225;LENTES DE CONTACTO CLEAR TORICO HEMMA -2.50;LCI-0000225;150;4;U04;200101
226;2226;LENTES DE CONTACTO CLEAR TORICO HEMMA -2.75;LCI-0000226;150;4;U04;200101
227;2227;LENTES DE CONTACTO CLEAR TORICO HEMMA -3.00;LCI-0000227;150;4;U04;200101
228;2228;LENTES DE CONTACTO CLEAR TORICO HEMMA -3.25;LCI-0000228;150;4;U04;200101
229;2229;LENTES DE CONTACTO CLEAR TORICO HEMMA -3.50;LCI-0000229;150;4;U04;200101
230;2230;LENTES DE CONTACTO CLEAR TORICO HEMMA -3.75;LCI-0000230;150;4;U04;200101
231;2231;LENTES DE CONTACTO CLEAR TORICO HEMMA -4.00;LCI-0000231;150;4;U04;200101
232;2232;LENTES DE CONTACTO CLEAR TORICO HEMMA -4.25;LCI-0000232;150;4;U04;200101
233;2233;LENTES DE CONTACTO CLEAR TORICO HEMMA -4.50;LCI-0000233;150;4;U04;200101
234;2234;LENTES DE CONTACTO CLEAR TORICO HEMMA -4.75;LCI-0000234;150;4;U04;200101
235;2235;LENTES DE CONTACTO CLEAR TORICO HEMMA -5.00;LCI-0000235;150;4;U04;200101
236;2236;LENTES DE CONTACTO CLEAR TORICO HEMMA -5.25;LCI-0000236;150;4;U04;200101
237;2237;LENTES DE CONTACTO CLEAR TORICO HEMMA -5.50;LCI-0000237;150;4;U04;200101
238;2238;LENTES DE CONTACTO CLEAR TORICO HEMMA -5.75;LCI-0000238;150;4;U04;200101
239;2239;LENTES DE CONTACTO CLEAR TORICO HEMMA -6.00;LCI-0000239;150;4;U04;200101
240;2240;LENTES DE CONTACTO CLEAR TORICO HEMMA -6.25;LCI-0000240;150;4;U04;200101
241;2241;LENTES DE CONTACTO CLEAR TORICO HEMMA -6.50;LCI-0000241;150;4;U04;200101
242;2242;LENTES DE CONTACTO CLEAR TORICO HEMMA -6.75;LCI-0000242;150;4;U04;200101
243;2243;LENTES DE CONTACTO CLEAR TORICO HEMMA -7.00;LCI-0000243;150;4;U04;200101
244;2244;LENTES DE CONTACTO CLEAR TORICO HEMMA -7.25;LCI-0000244;150;4;U04;200101
245;2245;LENTES DE CONTACTO CLEAR TORICO HEMMA -7.50;LCI-0000245;150;4;U04;200101
246;2246;LENTES DE CONTACTO CLEAR TORICO HEMMA -8.00;LCI-0000246;150;4;U04;200101
247;2247;LENTES DE CONTACTO PUREVISION 2 ESFERICO +6.00;LCI-0000247;150;4;U04;200101
248;2248;LENTES DE CONTACTO PUREVISION 2 ESFERICO +5.75;LCI-0000248;150;4;U04;200101
249;2249;LENTES DE CONTACTO PUREVISION 2 ESFERICO +5.50;LCI-0000249;150;4;U04;200101
250;2250;LENTES DE CONTACTO PUREVISION 2 ESFERICO +5.25;LCI-0000250;150;4;U04;200101
251;2251;LENTES DE CONTACTO PUREVISION 2 ESFERICO +5.00;LCI-0000251;150;4;U04;200101
252;2252;LENTES DE CONTACTO PUREVISION 2 ESFERICO +4.75;LCI-0000252;150;4;U04;200101
253;2253;LENTES DE CONTACTO PUREVISION 2 ESFERICO +4.50;LCI-0000253;150;4;U04;200101
254;2254;LENTES DE CONTACTO PUREVISION 2 ESFERICO +4.25;LCI-0000254;150;4;U04;200101
255;2255;LENTES DE CONTACTO PUREVISION 2 ESFERICO +4.00;LCI-0000255;150;4;U04;200101
256;2256;LENTES DE CONTACTO PUREVISION 2 ESFERICO +3.75;LCI-0000256;150;4;U04;200101
257;2257;LENTES DE CONTACTO PUREVISION 2 ESFERICO +3.50;LCI-0000257;150;4;U04;200101
258;2258;LENTES DE CONTACTO PUREVISION 2 ESFERICO +3.25;LCI-0000258;150;4;U04;200101
259;2259;LENTES DE CONTACTO PUREVISION 2 ESFERICO +3.00;LCI-0000259;150;4;U04;200101
260;2260;LENTES DE CONTACTO PUREVISION 2 ESFERICO +2.75;LCI-0000260;150;4;U04;200101
