COD_AUTO;CODIGO;DESCRIPCION;REFERENCIA;TIPO INSUMO DET;TIPO INSUMO;UND NEGOCIOS;CENTRO COSTOS
30;102;LENTES INTRAOCULARES SA60AT+6.50;LI-0000030;150;4;U04;200101
31;103;LENTES INTRAOCULARES SA60AT+7.00;LI-0000031;150;4;U04;200101
32;104;LENTES INTRAOCULARES SA60AT+7.50;LI-0000032;150;4;U04;200101
33;105;LENTES INTRAOCULARES SA60AT+8.00;LI-0000033;150;4;U04;200101
34;106;LENTES INTRAOCULARES SA60AT+8.50;LI-0000034;150;4;U04;200101
35;107;LENTES INTRAOCULARES SA60AT+9.00;LI-0000035;150;4;U04;200101
36;108;LENTES INTRAOCULARES SA60AT+9.50;LI-0000036;150;4;U04;200101
37;109;LENTES INTRAOCULARES SA60AT+10.00;LI-0000037;150;4;U04;200101
38;110;LENTES INTRAOCULARES SA60AT+10.50;LI-0000038;150;4;U04;200101
39;111;LENTES INTRAOCULARES SA60AT+11.00;LI-0000039;150;4;U04;200101
40;112;LENTES INTRAOCULARES SA60AT+11.50;LI-0000040;150;4;U04;200101
41;113;LENTES INTRAOCULARES SA60AT+12.00;LI-0000041;150;4;U04;200101
42;114;LENTES INTRAOCULARES SA60AT+12.50;LI-0000042;150;4;U04;200101
43;115;LENTES INTRAOCULARES SA60AT+13.00;LI-0000043;150;4;U04;200101
44;116;LENTES INTRAOCULARES SA60AT+13.50;LI-0000044;150;4;U04;200101
45;117;LENTES INTRAOCULARES SA60AT+14.00;LI-0000045;150;4;U04;200101
46;118;LENTES INTRAOCULARES SA60AT+14.50;LI-0000046;150;4;U04;200101
47;119;LENTES INTRAOCULARES SA60AT+15.00;LI-0000047;150;4;U04;200101
48;120;LENTES INTRAOCULARES SA60AT+15.50;LI-0000048;150;4;U04;200101
49;121;LENTES INTRAOCULARES SA60AT+16.00;LI-0000049;150;4;U04;200101
50;122;LENTES INTRAOCULARES SA60AT+16.50;LI-0000050;150;4;U04;200101
51;123;LENTES INTRAOCULARES SA60AT+17.00;LI-0000051;150;4;U04;200101
52;124;LENTES INTRAOCULARES SA60AT+17.50;LI-0000052;150;4;U04;200101
53;125;LENTES INTRAOCULARES SA60AT+18.00;LI-0000053;150;4;U04;200101
54;126;LENTES INTRAOCULARES SA60AT+18.50;LI-0000054;150;4;U04;200101
55;127;LENTES INTRAOCULARES SA60AT+19.00;LI-0000055;150;4;U04;200101
56;128;LENTES INTRAOCULARES SA60AT+19.50;LI-0000056;150;4;U04;200101
57;129;LENTES INTRAOCULARES SA60AT+20.00;LI-0000057;150;4;U04;200101
58;130;LENTES INTRAOCULARES SA60AT+20.50;LI-0000058;150;4;U04;200101
59;131;LENTES INTRAOCULARES SA60AT+21.00;LI-0000059;150;4;U04;200101
60;132;LENTES INTRAOCULARES SA60AT+21.50;LI-0000060;150;4;U04;200101
61;133;LENTES INTRAOCULARES SA60AT+22.00;LI-0000061;150;4;U04;200101
62;134;LENTES INTRAOCULARES SA60AT+22.50;LI-0000062;150;4;U04;200101
63;135;LENTES INTRAOCULARES SA60AT+23.00;LI-0000063;150;4;U04;200101
64;136;LENTES INTRAOCULARES SA60AT+23.50;LI-0000064;150;4;U04;200101
65;137;LENTES INTRAOCULARES SA60AT+24.00;LI-0000065;150;4;U04;200101
66;138;LENTES INTRAOCULARES SA60AT+24.50;LI-0000066;150;4;U04;200101
67;139;LENTES INTRAOCULARES SA60AT+25.00;LI-0000067;150;4;U04;200101
68;140;LENTES INTRAOCULARES SA60AT+25.50;LI-0000068;150;4;U04;200101
69;141;LENTES INTRAOCULARES SA60AT+26.00;LI-0000069;150;4;U04;200101
70;142;LENTES INTRAOCULARES SA60AT+26.50;LI-0000070;150;4;U04;200101
71;143;LENTES INTRAOCULARES SA60AT+27.00;LI-0000071;150;4;U04;200101
72;144;LENTES INTRAOCULARES SA60AT+27.50;LI-0000072;150;4;U04;200101
73;145;LENTES INTRAOCULARES SA60AT+28.00;LI-0000073;150;4;U04;200101
74;146;LENTES INTRAOCULARES SA60AT+28.50;LI-0000074;150;4;U04;200101
75;147;LENTES INTRAOCULARES SA60AT+29.00;LI-0000075;150;4;U04;200101
76;148;LENTES INTRAOCULARES SA60AT+29.50;LI-0000076;150;4;U04;200101
77;149;LENTES INTRAOCULARES SA60AT+30.00;LI-0000077;150;4;U04;200101
78;150;LENTES INTRAOCULARES SA60AT+30.50;LI-0000078;150;4;U04;200101
79;151;LENTES INTRAOCULARES SA60AT+31.00;LI-0000079;150;4;U04;200101
80;152;LENTES INTRAOCULARES SA60AT+31.50;LI-0000080;150;4;U04;200101
81;153;LENTES INTRAOCULARES SA60AT+32.00;LI-0000081;150;4;U04;200101
82;154;LENTES INTRAOCULARES SA60AT+32.50;LI-0000082;150;4;U04;200101
83;155;LENTES INTRAOCULARES SA60AT+33.00;LI-0000083;150;4;U04;200101
84;156;LENTES INTRAOCULARES SA60AT+33.50;LI-0000084;150;4;U04;200101
85;157;LENTES INTRAOCULARES SA60AT+34.00;LI-0000085;150;4;U04;200101
86;158;LENTES INTRAOCULARES SA60AT+34.50;LI-0000086;150;4;U04;200101
87;159;LENTES INTRAOCULARES SA60AT+35.00;LI-0000087;150;4;U04;200101
88;160;LENTES INTRAOCULARES SA60AT+35.50;LI-0000088;150;4;U04;200101
89;161;LENTES INTRAOCULARES SA60AT+36.00;LI-0000089;150;4;U04;200101
90;162;LENTES INTRAOCULARES SA60AT+36.50;LI-0000090;150;4;U04;200101
91;163;LENTES INTRAOCULARES SA60AT+37.00;LI-0000091;150;4;U04;200101
92;164;LENTES INTRAOCULARES SA60AT+37.50;LI-0000092;150;4;U04;200101
93;165;LENTES INTRAOCULARES SA60AT+38.00;LI-0000093;150;4;U04;200101
94;166;LENTES INTRAOCULARES SA60AT+38.50;LI-0000094;150;4;U04;200101
95;167;LENTES INTRAOCULARES SA60AT+39.00;LI-0000095;150;4;U04;200101
96;168;LENTES INTRAOCULARES SA60AT+39.50;LI-0000096;150;4;U04;200101
97;169;LENTES INTRAOCULARES SA60AT+40.00;LI-0000097;150;4;U04;200101
98;170;LENTES INTRAOCULARES NATURAL+6.00;LI-0000098;150;4;U04;200101
99;171;LENTES INTRAOCULARES NATURAL+6.50;LI-0000099;150;4;U04;200101
100;172;LENTES INTRAOCULARES NATURAL+7.00;LI-0000100;150;4;U04;200101
101;173;LENTES INTRAOCULARES NATURAL+7.50;LI-0000101;150;4;U04;200101
102;174;LENTES INTRAOCULARES NATURAL+8.00;LI-0000102;150;4;U04;200101
103;175;LENTES INTRAOCULARES NATURAL+8.50;LI-0000103;150;4;U04;200101
104;176;LENTES INTRAOCULARES NATURAL+9.00;LI-0000104;150;4;U04;200101
105;177;LENTES INTRAOCULARES NATURAL+9.30;LI-0000105;150;4;U04;200101
106;178;LENTES INTRAOCULARES NATURAL+10.00;LI-0000106;150;4;U04;200101
107;179;LENTES INTRAOCULARES NATURAL+10.30;LI-0000107;150;4;U04;200101
108;180;LENTES INTRAOCULARES NATURAL+11.00;LI-0000108;150;4;U04;200101
109;181;LENTES INTRAOCULARES NATURAL+11.50;LI-0000109;150;4;U04;200101
110;182;LENTES INTRAOCULARES NATURAL+12.00;LI-0000110;150;4;U04;200101
111;183;LENTES INTRAOCULARES NATURAL+12.50;LI-0000111;150;4;U04;200101
112;184;LENTES INTRAOCULARES NATURAL+13.00;LI-0000112;150;4;U04;200101
113;185;LENTES INTRAOCULARES NATURAL+13.50;LI-0000113;150;4;U04;200101
114;186;LENTES INTRAOCULARES NATURAL+14.00;LI-0000114;150;4;U04;200101
115;187;LENTES INTRAOCULARES NATURAL+14.50;LI-0000115;150;4;U04;200101
116;188;LENTES INTRAOCULARES NATURAL+15.00;LI-0000116;150;4;U04;200101
117;189;LENTES INTRAOCULARES NATURAL+15.50;LI-0000117;150;4;U04;200101
118;190;LENTES INTRAOCULARES NATURAL+16.00;LI-0000118;150;4;U04;200101
119;191;LENTES INTRAOCULARES NATURAL+16.50;LI-0000119;150;4;U04;200101
120;192;LENTES INTRAOCULARES NATURAL+17.00;LI-0000120;150;4;U04;200101
121;193;LENTES INTRAOCULARES NATURAL+17.50;LI-0000121;150;4;U04;200101
122;194;LENTES INTRAOCULARES NATURAL+18.00;LI-0000122;150;4;U04;200101
123;195;LENTES INTRAOCULARES NATURAL+18.50;LI-0000123;150;4;U04;200101
124;196;LENTES INTRAOCULARES NATURAL+19.00;LI-0000124;150;4;U04;200101
125;197;LENTES INTRAOCULARES NATURAL+19.50;LI-0000125;150;4;U04;200101
126;198;LENTES INTRAOCULARES NATURAL+20.00;LI-0000126;150;4;U04;200101
127;199;LENTES INTRAOCULARES NATURAL+20.50;LI-0000127;150;4;U04;200101
128;200;LENTES INTRAOCULARES NATURAL+21.00;LI-0000128;150;4;U04;200101
129;201;LENTES INTRAOCULARES NATURAL+21.50;LI-0000129;150;4;U04;200101
130;202;LENTES INTRAOCULARES NATURAL+22.00;LI-0000130;150;4;U04;200101
131;203;LENTES INTRAOCULARES NATURAL+22.50;LI-0000131;150;4;U04;200101
132;204;LENTES INTRAOCULARES NATURAL+23.00;LI-0000132;150;4;U04;200101
133;205;LENTES INTRAOCULARES NATURAL+23.50;LI-0000133;150;4;U04;200101
134;206;LENTES INTRAOCULARES NATURAL+24.00;LI-0000134;150;4;U04;200101
135;207;LENTES INTRAOCULARES NATURAL+24.50;LI-0000135;150;4;U04;200101
136;208;LENTES INTRAOCULARES NATURAL+25.00;LI-0000136;150;4;U04;200101
137;209;LENTES INTRAOCULARES NATURAL+25.50;LI-0000137;150;4;U04;200101
138;210;LENTES INTRAOCULARES NATURAL+26.00;LI-0000138;150;4;U04;200101
139;211;LENTES INTRAOCULARES NATURAL+26.50;LI-0000139;150;4;U04;200101
140;212;LENTES INTRAOCULARES NATURAL+27.00;LI-0000140;150;4;U04;200101
141;213;LENTES INTRAOCULARES NATURAL+27.50;LI-0000141;150;4;U04;200101
142;214;LENTES INTRAOCULARES NATURAL+28.00;LI-0000142;150;4;U04;200101
143;215;LENTES INTRAOCULARES NATURAL+28.50;LI-0000143;150;4;U04;200101
144;216;LENTES INTRAOCULARES NATURAL+29.00;LI-0000144;150;4;U04;200101
145;217;LENTES INTRAOCULARES NATURAL+29.50;LI-0000145;150;4;U04;200101
146;218;LENTES INTRAOCULARES NATURAL+30.00;LI-0000146;150;4;U04;200101
147;219;LENTES INTRAOCULARES NATURAL+30.50;LI-0000147;150;4;U04;200101
148;220;LENTES INTRAOCULARES NATURAL+31.00;LI-0000148;150;4;U04;200101
149;221;LENTES INTRAOCULARES NATURAL+31.50;LI-0000149;150;4;U04;200101
150;222;LENTES INTRAOCULARES NATURAL+32.00;LI-0000150;150;4;U04;200101
151;223;LENTES INTRAOCULARES NATURAL+32.50;LI-0000151;150;4;U04;200101
152;224;LENTES INTRAOCULARES NATURAL+33.00;LI-0000152;150;4;U04;200101
153;225;LENTES INTRAOCULARES NATURAL+33.50;LI-0000153;150;4;U04;200101
154;226;LENTES INTRAOCULARES NATURAL+34.00;LI-0000154;150;4;U04;200101
155;227;LENTES INTRAOCULARES NATURAL+34.50;LI-0000155;150;4;U04;200101
156;228;LENTES INTRAOCULARES NATURAL+35.00;LI-0000156;150;4;U04;200101
157;229;LENTES INTRAOCULARES NATURAL+35.50;LI-0000157;150;4;U04;200101
158;230;LENTES INTRAOCULARES NATURAL+36.00;LI-0000158;150;4;U04;200101
159;231;LENTES INTRAOCULARES NATURAL+36.50;LI-0000159;150;4;U04;200101
160;232;LENTES INTRAOCULARES NATURAL+37.00;LI-0000160;150;4;U04;200101
161;233;LENTES INTRAOCULARES NATURAL+37.50;LI-0000161;150;4;U04;200101
162;234;LENTES INTRAOCULARES NATURAL+38.00;LI-0000162;150;4;U04;200101
163;235;LENTES INTRAOCULARES NATURAL+38.50;LI-0000163;150;4;U04;200101
164;236;LENTES INTRAOCULARES NATURAL+39.00;LI-0000164;150;4;U04;200101
165;237;LENTES INTRAOCULARES NATURAL+39.50;LI-0000165;150;4;U04;200101
166;238;LENTES INTRAOCULARES NATURAL+40.00;LI-0000166;150;4;U04;200101
167;239;LENTES INTRAOCULARES IQ+6.00;LI-0000167;150;4;U04;200101
168;240;LENTES INTRAOCULARES IQ+6.50;LI-0000168;150;4;U04;200101
169;241;LENTES INTRAOCULARES IQ+7.00;LI-0000169;150;4;U04;200101
170;242;LENTES INTRAOCULARES IQ+7.50;LI-0000170;150;4;U04;200101
171;243;LENTES INTRAOCULARES IQ+8.00;LI-0000171;150;4;U04;200101
172;244;LENTES INTRAOCULARES IQ+8.50;LI-0000172;150;4;U04;200101
173;245;LENTES INTRAOCULARES IQ+9.00;LI-0000173;150;4;U04;200101
174;246;LENTES INTRAOCULARES IQ+9.50;LI-0000174;150;4;U04;200101
175;247;LENTES INTRAOCULARES IQ+10.00;LI-0000175;150;4;U04;200101
176;248;LENTES INTRAOCULARES IQ+10.50;LI-0000176;150;4;U04;200101
177;249;LENTES INTRAOCULARES IQ+11.00;LI-0000177;150;4;U04;200101
178;250;LENTES INTRAOCULARES IQ+11.50;LI-0000178;150;4;U04;200101
179;251;LENTES INTRAOCULARES IQ+12.00;LI-0000179;150;4;U04;200101
180;252;LENTES INTRAOCULARES IQ+12.50;LI-0000180;150;4;U04;200101
181;253;LENTES INTRAOCULARES IQ+13.00;LI-0000181;150;4;U04;200101
182;254;LENTES INTRAOCULARES IQ+13.50;LI-0000182;150;4;U04;200101
183;255;LENTES INTRAOCULARES IQ+14.00;LI-0000183;150;4;U04;200101
184;256;LENTES INTRAOCULARES IQ+14.50;LI-0000184;150;4;U04;200101
185;257;LENTES INTRAOCULARES IQ+15.00;LI-0000185;150;4;U04;200101
186;258;LENTES INTRAOCULARES IQ+15.50;LI-0000186;150;4;U04;200101
187;259;LENTES INTRAOCULARES IQ+16.00;LI-0000187;150;4;U04;200101
188;260;LENTES INTRAOCULARES IQ+16.50;LI-0000188;150;4;U04;200101
189;261;LENTES INTRAOCULARES IQ+17.00;LI-0000189;150;4;U04;200101
190;262;LENTES INTRAOCULARES IQ+17.50;LI-0000190;150;4;U04;200101
191;263;LENTES INTRAOCULARES IQ+18.00;LI-0000191;150;4;U04;200101
192;264;LENTES INTRAOCULARES IQ+18.50;LI-0000192;150;4;U04;200101
193;265;LENTES INTRAOCULARES IQ+19.00;LI-0000193;150;4;U04;200101
194;266;LENTES INTRAOCULARES IQ+19.50;LI-0000194;150;4;U04;200101
195;267;LENTES INTRAOCULARES IQ+20.00;LI-0000195;150;4;U04;200101
196;268;LENTES INTRAOCULARES IQ+20.50;LI-0000196;150;4;U04;200101
197;269;LENTES INTRAOCULARES IQ+21.00;LI-0000197;150;4;U04;200101
198;270;LENTES INTRAOCULARES IQ+21.50;LI-0000198;150;4;U04;200101
199;271;LENTES INTRAOCULARES IQ+22.00;LI-0000199;150;4;U04;200101
200;272;LENTES INTRAOCULARES IQ+22.50;LI-0000200;150;4;U04;200101
201;273;LENTES INTRAOCULARES IQ+23.00;LI-0000201;150;4;U04;200101
202;274;LENTES INTRAOCULARES IQ+23.50;LI-0000202;150;4;U04;200101
203;275;LENTES INTRAOCULARES IQ+24.00;LI-0000203;150;4;U04;200101
204;276;LENTES INTRAOCULARES IQ+24.50;LI-0000204;150;4;U04;200101
205;277;LENTES INTRAOCULARES IQ+25.00;LI-0000205;150;4;U04;200101
206;278;LENTES INTRAOCULARES IQ+25.50;LI-0000206;150;4;U04;200101
207;279;LENTES INTRAOCULARES IQ+26.00;LI-0000207;150;4;U04;200101
208;280;LENTES INTRAOCULARES IQ+26.50;LI-0000208;150;4;U04;200101
209;281;LENTES INTRAOCULARES IQ+27.00;LI-0000209;150;4;U04;200101
210;282;LENTES INTRAOCULARES IQ+27.50;LI-0000210;150;4;U04;200101
211;283;LENTES INTRAOCULARES IQ+28.00;LI-0000211;150;4;U04;200101
212;284;LENTES INTRAOCULARES IQ+28.50;LI-0000212;150;4;U04;200101
213;285;LENTES INTRAOCULARES IQ+29.00;LI-0000213;150;4;U04;200101
214;286;LENTES INTRAOCULARES IQ+29.50;LI-0000214;150;4;U04;200101
215;287;LENTES INTRAOCULARES IQ+30.00;LI-0000215;150;4;U04;200101
216;288;LENTES INTRAOCULARES IQ TORICO SN6AT2+6.00;LI-0000216;150;4;U04;200101
217;289;LENTES INTRAOCULARES IQ TORICO SN6AT2+6.50;LI-0000217;150;4;U04;200101
218;290;LENTES INTRAOCULARES IQ TORICO SN6AT2+7.00;LI-0000218;150;4;U04;200101
219;291;LENTES INTRAOCULARES IQ TORICO SN6AT2+7.50;LI-0000219;150;4;U04;200101
220;292;LENTES INTRAOCULARES IQ TORICO SN6AT2+8.00;LI-0000220;150;4;U04;200101
221;293;LENTES INTRAOCULARES IQ TORICO SN6AT2+8.50;LI-0000221;150;4;U04;200101
222;294;LENTES INTRAOCULARES IQ TORICO SN6AT2+9.00;LI-0000222;150;4;U04;200101
223;295;LENTES INTRAOCULARES IQ TORICO SN6AT2+9.50;LI-0000223;150;4;U04;200101
224;296;LENTES INTRAOCULARES IQ TORICO SN6AT2+10.00;LI-0000224;150;4;U04;200101
225;297;LENTES INTRAOCULARES IQ TORICO SN6AT2+10.50;LI-0000225;150;4;U04;200101
226;298;LENTES INTRAOCULARES IQ TORICO SN6AT2+11.00;LI-0000226;150;4;U04;200101
227;299;LENTES INTRAOCULARES IQ TORICO SN6AT2+11.50;LI-0000227;150;4;U04;200101
228;300;LENTES INTRAOCULARES IQ TORICO SN6AT2+12.00;LI-0000228;150;4;U04;200101
229;301;LENTES INTRAOCULARES IQ TORICO SN6AT2+12.50;LI-0000229;150;4;U04;200101
230;302;LENTES INTRAOCULARES IQ TORICO SN6AT2+13.00;LI-0000230;150;4;U04;200101
231;303;LENTES INTRAOCULARES IQ TORICO SN6AT2+13.50;LI-0000231;150;4;U04;200101
232;304;LENTES INTRAOCULARES IQ TORICO SN6AT2+14.00;LI-0000232;150;4;U04;200101
233;305;LENTES INTRAOCULARES IQ TORICO SN6AT2+14.50;LI-0000233;150;4;U04;200101
234;306;LENTES INTRAOCULARES IQ TORICO SN6AT2+15.00;LI-0000234;150;4;U04;200101
235;307;LENTES INTRAOCULARES IQ TORICO SN6AT2+15.50;LI-0000235;150;4;U04;200101
236;308;LENTES INTRAOCULARES IQ TORICO SN6AT2+16.00;LI-0000236;150;4;U04;200101
237;309;LENTES INTRAOCULARES IQ TORICO SN6AT2+16.50;LI-0000237;150;4;U04;200101
238;310;LENTES INTRAOCULARES IQ TORICO SN6AT2+17.00;LI-0000238;150;4;U04;200101
239;311;LENTES INTRAOCULARES IQ TORICO SN6AT2+17.50;LI-0000239;150;4;U04;200101
240;312;LENTES INTRAOCULARES IQ TORICO SN6AT2+18.00;LI-0000240;150;4;U04;200101
241;313;LENTES INTRAOCULARES IQ TORICO SN6AT2+18.50;LI-0000241;150;4;U04;200101
242;314;LENTES INTRAOCULARES IQ TORICO SN6AT2+19.00;LI-0000242;150;4;U04;200101
243;315;LENTES INTRAOCULARES IQ TORICO SN6AT2+19.50;LI-0000243;150;4;U04;200101
244;316;LENTES INTRAOCULARES IQ TORICO SN6AT2+20.00;LI-0000244;150;4;U04;200101
245;317;LENTES INTRAOCULARES IQ TORICO SN6AT2+20.50;LI-0000245;150;4;U04;200101
246;318;LENTES INTRAOCULARES IQ TORICO SN6AT2+21.00;LI-0000246;150;4;U04;200101
247;319;LENTES INTRAOCULARES IQ TORICO SN6AT2+21.50;LI-0000247;150;4;U04;200101
248;320;LENTES INTRAOCULARES IQ TORICO SN6AT2+22.00;LI-0000248;150;4;U04;200101
249;321;LENTES INTRAOCULARES IQ TORICO SN6AT2+22.50;LI-0000249;150;4;U04;200101
250;322;LENTES INTRAOCULARES IQ TORICO SN6AT2+23.00;LI-0000250;150;4;U04;200101
251;323;LENTES INTRAOCULARES IQ TORICO SN6AT2+23.50;LI-0000251;150;4;U04;200101
252;324;LENTES INTRAOCULARES IQ TORICO SN6AT2+24.00;LI-0000252;150;4;U04;200101
253;325;LENTES INTRAOCULARES IQ TORICO SN6AT2+24.50;LI-0000253;150;4;U04;200101
254;326;LENTES INTRAOCULARES IQ TORICO SN6AT2+25.00;LI-0000254;150;4;U04;200101
255;327;LENTES INTRAOCULARES IQ TORICO SN6AT2+25.50;LI-0000255;150;4;U04;200101
256;328;LENTES INTRAOCULARES IQ TORICO SN6AT2+26.00;LI-0000256;150;4;U04;200101
257;329;LENTES INTRAOCULARES IQ TORICO SN6AT2+26.50;LI-0000257;150;4;U04;200101
258;330;LENTES INTRAOCULARES IQ TORICO SN6AT2+27.00;LI-0000258;150;4;U04;200101
259;331;LENTES INTRAOCULARES IQ TORICO SN6AT2+27.50;LI-0000259;150;4;U04;200101
260;332;LENTES INTRAOCULARES IQ TORICO SN6AT2+28.00;LI-0000260;150;4;U04;200101
261;333;LENTES INTRAOCULARES IQ TORICO SN6AT2+28.50;LI-0000261;150;4;U04;200101
262;334;LENTES INTRAOCULARES IQ TORICO SN6AT2+29.00;LI-0000262;150;4;U04;200101
263;335;LENTES INTRAOCULARES IQ TORICO SN6AT2+29.50;LI-0000263;150;4;U04;200101
264;336;LENTES INTRAOCULARES IQ TORICO SN6AT2+30.00;LI-0000264;150;4;U04;200101
265;337;LENTES INTRAOCULARES IQ TORICO SN6AT3+6.00;LI-0000265;150;4;U04;200101
266;338;LENTES INTRAOCULARES IQ TORICO SN6AT3+6.50;LI-0000266;150;4;U04;200101
267;339;LENTES INTRAOCULARES IQ TORICO SN6AT3+7.00;LI-0000267;150;4;U04;200101
268;340;LENTES INTRAOCULARES IQ TORICO SN6AT3+7.50;LI-0000268;150;4;U04;200101
269;341;LENTES INTRAOCULARES IQ TORICO SN6AT3+8.00;LI-0000269;150;4;U04;200101
270;342;LENTES INTRAOCULARES IQ TORICO SN6AT3+8.50;LI-0000270;150;4;U04;200101
271;343;LENTES INTRAOCULARES IQ TORICO SN6AT3+9.00;LI-0000271;150;4;U04;200101
272;344;LENTES INTRAOCULARES IQ TORICO SN6AT3+9.50;LI-0000272;150;4;U04;200101
273;345;LENTES INTRAOCULARES IQ TORICO SN6AT3+10.00;LI-0000273;150;4;U04;200101
274;346;LENTES INTRAOCULARES IQ TORICO SN6AT3+10.50;LI-0000274;150;4;U04;200101
275;347;LENTES INTRAOCULARES IQ TORICO SN6AT3+11.00;LI-0000275;150;4;U04;200101
276;348;LENTES INTRAOCULARES IQ TORICO SN6AT3+11.50;LI-0000276;150;4;U04;200101
277;349;LENTES INTRAOCULARES IQ TORICO SN6AT3+12.00;LI-0000277;150;4;U04;200101
278;350;LENTES INTRAOCULARES IQ TORICO SN6AT3+12.50;LI-0000278;150;4;U04;200101
279;351;LENTES INTRAOCULARES IQ TORICO SN6AT3+13.00;LI-0000279;150;4;U04;200101
280;352;LENTES INTRAOCULARES IQ TORICO SN6AT3+13.50;LI-0000280;150;4;U04;200101
281;353;LENTES INTRAOCULARES IQ TORICO SN6AT3+14.00;LI-0000281;150;4;U04;200101
282;354;LENTES INTRAOCULARES IQ TORICO SN6AT3+14.50;LI-0000282;150;4;U04;200101
283;355;LENTES INTRAOCULARES IQ TORICO SN6AT3+15.00;LI-0000283;150;4;U04;200101
284;356;LENTES INTRAOCULARES IQ TORICO SN6AT3+15.50;LI-0000284;150;4;U04;200101
285;357;LENTES INTRAOCULARES IQ TORICO SN6AT3+16.00;LI-0000285;150;4;U04;200101
286;358;LENTES INTRAOCULARES IQ TORICO SN6AT3+16.50;LI-0000286;150;4;U04;200101
287;359;LENTES INTRAOCULARES IQ TORICO SN6AT3+17.00;LI-0000287;150;4;U04;200101
288;360;LENTES INTRAOCULARES IQ TORICO SN6AT3+17.50;LI-0000288;150;4;U04;200101
289;361;LENTES INTRAOCULARES IQ TORICO SN6AT3+18.00;LI-0000289;150;4;U04;200101
290;362;LENTES INTRAOCULARES IQ TORICO SN6AT3+18.50;LI-0000290;150;4;U04;200101
291;363;LENTES INTRAOCULARES IQ TORICO SN6AT3+19.00;LI-0000291;150;4;U04;200101
292;364;LENTES INTRAOCULARES IQ TORICO SN6AT3+19.50;LI-0000292;150;4;U04;200101
293;365;LENTES INTRAOCULARES IQ TORICO SN6AT3+20.00;LI-0000293;150;4;U04;200101
294;366;LENTES INTRAOCULARES IQ TORICO SN6AT3+20.50;LI-0000294;150;4;U04;200101
295;367;LENTES INTRAOCULARES IQ TORICO SN6AT3+21.00;LI-0000295;150;4;U04;200101
296;368;LENTES INTRAOCULARES IQ TORICO SN6AT3+21.50;LI-0000296;150;4;U04;200101
297;369;LENTES INTRAOCULARES IQ TORICO SN6AT3+22.00;LI-0000297;150;4;U04;200101
298;370;LENTES INTRAOCULARES IQ TORICO SN6AT3+22.50;LI-0000298;150;4;U04;200101
299;371;LENTES INTRAOCULARES IQ TORICO SN6AT3+23.00;LI-0000299;150;4;U04;200101
300;372;LENTES INTRAOCULARES IQ TORICO SN6AT3+23.50;LI-0000300;150;4;U04;200101
